Fkh,FKHD
FKH,FKHD
HNF,HNFP,HNF1,HNF6
Clo,CLOX
bHL,BHLH
Hes,HESF
Pax,PAXH,PAX5,PAX7,PAX6,PAX1,PAX3,PAX2,PAX9
NfK,NFKB
Miz,MIZ1
NFA,NFAT
CRE,CREB
tal,TALE
Mit,MITF
Irf,IRFF
STA,STAF,STAT
Mef,MEF2,MEF3
PBX,PBXC
Ceb,CEBP
Lef,LEFF
Sp1,SP1F
Whn,WHNF
Gat,GATA
Oct,OCT1
Sma,SMAD
oct,OCT1
Pbx,PBXC
Bcl,BCL6
Ets,ETSF
Klf,KLFS
Bar,BARB
Sta,STAF,STAT
Nfa,NFAT
Hnf,HNFP,HNF1,HNF6
Egr,EGRF
Maz,MAZF
wh,WHNF
Tal,TALE
Zfh,ZFHX
Cre,CREB
Yy1,YY1F
bcl,BCL6
Prd,PRDF,PRDM
Bhl,BHLH
mi,MITF,MIZ1
kr,IKRS
Gfi,GFI1
Tcf,TCFF
Ari,ARID
MIT,MITF
sf,SF1F
PUR,PURA
